id,title,bf,dm,author,score,url
1,【冰冰vlog.001】带大家看看每个冬天我必去的地方,988.8,113000.0,吃花椒的喵酱,18141212,//www.bilibili.com/video/BV1vy4y1i7bS
2,【老番茄】民风淳朴2077,417.6,36000.0,老番茄,5130184,//www.bilibili.com/video/BV1h64y1Z7zN
3,课 堂 请 勿 对 对 子 5.0 ！！！,127.6,22000.0,三十六贱笑,4181428,//www.bilibili.com/video/BV1ky4y1e7qm
4,小潮院长的年度总结,174.9,37000.0,小潮院长,3792050,//www.bilibili.com/video/BV1az4y1z7wE
5,骁话一下：2020把旧时代撕得稀烂，未来怎么办？,217.9,28000.0,观察者网,3465985,//www.bilibili.com/video/BV1Zf4y1e7ed
6,【年度混剪】2020，像一场电影,202.0,11000.0,百万剪辑狮,3435193,//www.bilibili.com/video/BV1si4y1w7UN
7,“龙，也会变老吗”,332.9,10000.0,像素企鹅,3163511,//www.bilibili.com/video/BV1Wo4y1Z77m
8,白嫖香不香？90万跑分的电脑抽奖，仅限B站。你的牛年礼物,58.5,32000.0,AS极客,2871821,//www.bilibili.com/video/BV14y4y1i7BT
9,打算花50万给KDA拍个MV？！先来试个妆吧,123.0,12000.0,机智的党妹,2774745,//www.bilibili.com/video/BV1a64y1Z7Ac
10,《信条》到底是不是神作？两万字深度解析，一遍看懂！【片片】,125.6,11000.0,小片片说大片,2599114,//www.bilibili.com/video/BV1zT4y1T7SD
11,靠谱盘点105：痛失泰相！Doinb生日喊错老婆名字？！糖小幽：我连备胎都不是,174.6,19000.0,靠谱电竞,2590037,//www.bilibili.com/video/BV1xT4y1T7iv
12,第一篇章|日落：高燃舞台打开2020最美的夜【2020 B站跨年晚会精彩全程】,937.0,20.6,哔哩哔哩晚会,2562116,//www.bilibili.com/video/BV1df4y1e7SX
13,元旦晚会语文老师穿jk跳书记舞一战成名！,345.5,18000.0,方儿屁,2537954,//www.bilibili.com/video/BV1TV41187Zn
14,【罗翔】童话镇,124.2,2343.0,核动力路灯,2433891,//www.bilibili.com/video/BV1bz4y1r7Ug
15,绝赞！上学那会老师不会讲的内容,131.1,8007.0,凉风Kaze,2404041,//www.bilibili.com/video/BV1PX4y1M7HE
16,全 站 最 婊 视 频,228.2,1364.0,强扭瓜蘸酱,2350103,//www.bilibili.com/video/BV1yy4y1e7ra
17,拴条狗都能1v5！LOL最黑暗人体实验套路！！【有点骚东西】,123.7,4989.0,上海滩许Van强,2320287,//www.bilibili.com/video/BV1kK411g7w6
18,小  丑  竟  是  我  自  己,235.8,23000.0,自来卷三木,2316828,//www.bilibili.com/video/BV18K4y1V7nY
19,结婚了！他花百万给女友造全网最丝滑钻石！,88.3,16000.0,麟宣森,2240016,//www.bilibili.com/video/BV1Sf4y1C7H6
20,自制八爪大锤雪球夹,199.7,18000.0,手工耿,2231499,//www.bilibili.com/video/BV1eK4y157f6
21,反 舰 导 弹 【C4快乐阴人流#12】,103.9,7667.0,鲁大能,2205043,//www.bilibili.com/video/BV1cp4y1B776
22,太刺激了！抛硬币决定怎么旅行！,112.1,22000.0,中国BOY超级大猩猩,2190313,//www.bilibili.com/video/BV1G5411p7Ln
23,我有一个好兄弟,151.2,8491.0,徐大虾咯,2139773,//www.bilibili.com/video/BV1cT4y1T7ZL
24,最 强 白 嫖 指 南：35个免费宝藏网站，你居然还不知道？！,74.3,2567.0,取景框看世界,2132929,//www.bilibili.com/video/BV1rX4y1T7G9
25,2020淘宝丑东西颁奖盛典,213.5,21000.0,天猫发言人,2106089,//www.bilibili.com/video/BV1bK4y1V76F
26,你甚至都不愿意叫我一声老大哥,163.4,2391.0,中二饼患者,2084922,//www.bilibili.com/video/BV1uy4y1U7p8
27,【罗翔】进口了八个集装箱的黄色书籍，你说你自己看？读评论#5,132.8,19000.0,罗翔说刑法,2066140,//www.bilibili.com/video/BV1r64y1Z7KT
28,【战双帕弥什×尼尔 机械纪元】联动版本「寄渊残响」PV公开 | 毁灭螺旋，虚妄残响,91.5,6813.0,战双帕弥什,2027823,//www.bilibili.com/video/BV1Ry4y1m7M4
29,没想到小当家最难还原的竟然是它！,157.3,3421.0,黑猫厨房,2026335,//www.bilibili.com/video/BV1rK4y1V7yY
30,我 们 都 喜 欢 D D,78.7,2545.0,圣剑少女の爱,1963068,//www.bilibili.com/video/BV1wt4y1C7GW
31,救了一只流浪猫,103.2,2765.0,Juli刘,1939342,//www.bilibili.com/video/BV1Uy4y1e7LN
32,只用一只鲤鱼王打通口袋妖怪火红是一种什么体验？【不进化】,131.4,7939.0,辣椒提拉米苏,1933885,//www.bilibili.com/video/BV1t64y1Z7L7
33,开箱3688元一个迈凯伦限量盲盒，一共买了俩打开一看傻眼了！,152.5,18000.0,大祥哥来了,1853215,//www.bilibili.com/video/BV14y4y1U74M
